직종코드,직종명,대분류코드,대분류명,부산공고수
013100,연구 관리자(부서장),0,경영·사무·금융·보험,1
014102,스포츠 관리자,0,경영·사무·금융·보험,1
015102,판매 관리자(소규모 판매점장 제외),0,경영·사무·금융·보험,1
015200,운송 관련 관리자(부서장),0,경영·사무·금융·보험,1
015900,기타 판매 및 고객 서비스 관리자,0,경영·사무·금융·보험,1
016305,식품가공 제조 관리자(공장장),0,경영·사무·금융·보험,1
016902,농림어업 및 기타 생산 관리자,0,경영·사무·금융·보험,1
021200,행정사,0,경영·사무·금융·보험,1
024101,광고·홍보 전문가,0,경영·사무·금융·보험,1
024102,마케팅 전문가,0,경영·사무·금융·보험,1
024200,조사 전문가,0,경영·사무·금융·보험,1
025900,기타 정부 행정 사무원,0,경영·사무·금융·보험,1
026301,인사 사무원,0,경영·사무·금융·보험,1
026500,총무 사무원 및 대학 행정조교,0,경영·사무·금융·보험,1
026503,학교행정 사무원(교무),0,경영·사무·금융·보험,1
026505,협회·회원단체 사무원,0,경영·사무·금융·보험,1
027101,재무 사무원,0,경영·사무·금융·보험,1
027202,경리 사무원(운수),0,경영·사무·금융·보험,1
027207,경리 사무원(아파트·빌딩),0,경영·사무·금융·보험,1
